Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2022-07-23,,383.37946886007853,6.904106259346008,,,,,,,0.27651843428611755,0.27651843428611755,0.27651843428611755,73,63.50288009643555,63.50288009643555,63.50288009643555,,148350,
2022-07-24,42,1525.5147632919534,1580.4479048848152,1.0,1,,,,,0.5827109865483575,1.281821370124817,0.2719799280166626,2528,,,,,960187,69002
2022-07-25,9,1488.949331534782,317.2974688410759,,,,,,,0.48185518689405,1.108501672744751,0.282440721988678,500,,,,,33853,153763
2022-07-26,,1469.528660205633,58.99872660636902,,,,,,,0.33430764741078905,0.7510291337966919,0.2615191638469696,139,,,,,,
2022-07-27,6,1320.0449938092436,221.30731010437012,,,,,,,0.45620203347096816,0.7505382895469666,0.31382298469543457,391,,,,,70247,
2022-07-28,,1469.5286823652843,,,,,,,,,,,,,,,,,
2022-07-29,,1469.528720482193,16.318796157836914,,,,,,,0.8664037585258484,0.8664037585258484,0.8664037585258484,72,,,,,,
2022-07-30,11,1486.487531674971,401.54334461688995,,,,,,,0.33784372180594946,1.0679012537002563,0.2615191638469696,742,,,,,339024,
2022-07-31,,1469.5287433026551,,,,,,,,,,,50,,,,,,
2022-08-01,4,1474.208934250525,149.4741336107254,,,,,,,0.6382425432914076,1.1220715045928955,0.30978578329086304,287,,,,,93562,
2022-08-02,,1469.5287963045323,,,,,,,,,,,7,,,,,,
2022-08-03,7,1482.4478577686566,205.86357736587524,,,,,,,0.6651340226660493,0.9669055938720703,0.31382301449775696,334,,,,,258266,
2022-08-04,1,1469.5287464783487,33.89288520812988,,,,,,,0.5932778418064117,0.8727326989173889,0.31382298469543457,71,,,,,,
2022-08-05,,1469.5288225082786,,,,,,,,,,,23,,,,,,
2022-08-06,21,1519.5313608477888,909.0402266979218,,,,,,,0.48853902613820555,1.3185521364212036,0.2719799280166626,1600,,,,,999604,
2022-08-07,14,1501.848916039725,542.9936565160751,1.0,1,,,,,0.8361023833621942,1.496047019958496,0.31382298469543457,910,,,,,646114,
2022-08-08,20,1482.4646880068071,694.7903980016708,,,,,,,0.5916831109599044,1.1444209814071655,0.282440721988678,1155,,,,,258603,
2022-08-09,27,1558.3731132033959,1011.627415895462,1.0,1,,,,,0.5600453679266928,1.5344295501708984,0.2510583996772766,1721,,,,,1324077,196123
2022-08-10,41,1510.9784177478052,1174.1299347877502,,,,,,,0.43054281274875833,1.4213660955429077,0.2615191638469696,1987,,,,,828622,
2022-08-11,51,1556.982467749694,2113.1975014209747,,,,,,,0.684436334010402,1.4968163967132568,0.2510583996772766,3665,,,,,1748291,
2022-08-12,36,1530.1820372470083,1308.7578193545341,,,,,,,0.5454280538185655,1.5403388738632202,0.2719799280166626,2395,,,,,1212523,
2022-08-13,59,1603.6615045495128,2532.1749106049538,5.0,5,,,,,0.5293967919146105,1.3798072338104248,0.2719799280166626,4175,,,,,2681453,
2022-08-14,14,1536.4681307296405,615.2733948230743,,,,,,,0.7196853066456659,1.3307428359985352,0.282440721988678,1053,,,,,1338189,
2022-08-15,7,1472.1797136725925,211.93088912963867,,,,,,,0.42816432346635475,0.9450700283050537,0.31382298469543457,389,,,,,52996,
2022-08-16,32,1564.6313920390326,1301.6217235326767,,,,,,,0.6114292152347626,1.2835688591003418,0.2510583996772766,2365,,,,,1745372,67613
2022-08-17,,1469.528823661008,18.82938003540039,,,,,,,0.31382298469543457,0.31382298469543457,0.31382298469543457,114,,,,,,
2022-08-18,133,1778.672916802375,5366.926472008228,4.0,4,,,,,0.6715143531523176,1.4937248229980469,0.2658980190753937,8672,,,,,6180118,
2022-08-19,3,1486.8948690962477,138.2290621995926,,,,,,,0.40827867208804214,1.0632710456848145,0.31382301449775696,276,,,,,347167,
2022-08-20,43,1525.260569070663,1985.3425467014313,5.0,5,,,,,0.46714978483406333,1.4068795442581177,0.2510583996772766,3177,,,,,1114139,
2022-08-21,14,1523.5165629783337,606.1083061695099,,,,,,,0.358066902658702,1.0071831941604614,0.2825971841812134,1305,,,,,1079273,
2022-08-22,46,1542.5831234696934,1640.3729453086853,,,,,,,0.5395083422318264,1.5839614868164062,0.24906764924526215,2955,,,,,1460435,
2022-08-23,42,1579.6015386462045,1478.705267906189,,,,,,,0.650979923328187,1.5169165134429932,0.24432949721813202,2712,,,,,2200472,
2022-08-24,29,1540.6958536245552,862.3270237445831,11.0,11,,,,,0.6398905749715411,1.3711066246032715,0.2510583996772766,1465,,,,716568,655600,
2022-08-25,66,1557.034872670927,2512.212816476822,1.0,1,,,,,0.45424990660446163,1.4040330648422241,0.24827347695827484,4484,,,,,1749340,
2022-08-26,18,1496.6387913916992,726.1038694381714,,,,,,,0.46741857757107086,1.476495385169983,0.2929014563560486,1245,,,,,541958,
2022-08-27,36,1496.1250970768056,1369.2478830814362,,,,,,,0.5039970707273934,1.5214735269546509,0.2510583996772766,2510,,,,,531690,
2022-08-28,17,1491.5576310779215,823.612920999527,1.0,1,,,,,0.5630889958103619,1.497164249420166,0.2510583996772766,1482,,,,,440380,
2022-08-29,39,1527.6760376108532,1333.7642133235931,,,,,,,0.455193396346774,1.1570833921432495,0.25306811928749084,2389,,,,,1162426,
2022-08-30,22,1528.6390290521326,1034.0182610750198,,,,,,,0.5443812544039889,1.2488971948623657,0.2510583996772766,1919,,,,,1181677,
2022-08-31,34,1556.5024505485728,1232.273802280426,,,,,,,0.5756160463264107,1.1443239450454712,0.2719799280166626,2140,,,,,1738695,
2022-09-01,49,1547.7062954924265,1842.5286169052124,,,,,,,0.5294411510936216,1.6726728677749634,0.2510583996772766,3287,,,,,1366415,84675
2022-09-02,16,1494.0808461291276,648.353964805603,,,,,,,0.5041395360757872,1.2718724012374878,0.2719799280166626,1217,,,,,490822,
2022-09-03,28,1553.1888262096381,1260.4007260799408,2.0,2,,,,,0.7393324916379205,1.3605743646621704,0.2719799280166626,2200,,,,,1672452,
2022-09-04,94,1543.749690843738,4908.718349456787,7.0,7,,,,,0.6341309436978444,1.4341095685958862,0.26027244329452515,7393,,,,,718467,
2022-09-05,66,1574.7610827203762,2722.1172165870667,5.0,5,,,,,0.6041383764181797,1.3911603689193726,0.26027244329452515,4204,64.77293395996094,64.77293395996094,64.77293395996094,,778107,
2022-09-06,9,1546.8543774447683,406.8694429397583,,,,,,,0.5153481215651796,1.1762691736221313,0.28290483355522156,713,,,,,,
2022-09-07,22,1685.6085236896436,918.7689819335938,,,,,,,0.6042797625475157,1.1922742128372192,0.26027244329452515,1512,,,,,2749351,
2022-09-08,55,1602.897611216349,2183.6379866600037,,,,,,,0.5916328845866107,1.9907967584514417,0.2585395783767106,3427,,,,,1110471,
2022-09-09,26,1606.1900253201838,992.298065662384,,,38.86024856567383,-94.68873596191406,38.86028289794922,-94.68868255615234,0.4399687283718466,1.6324145446206733,0.26027247111002605,1659,,,,,1175708,
2022-09-10,53,1584.2456551684256,1984.437515616417,,,,,,,0.543616847227585,1.4335546891947004,0.2388845412467119,3357,,,,,740890,
2022-09-11,24,1609.3983537919612,1084.659022808075,,,,,,,0.7013596783481162,1.8041953311525467,0.24681910903840126,1892,,,,,1239280,
2022-09-12,26,1570.8209648691882,1222.6479134559631,,,,,,,0.5608178700371175,1.5022875651818761,0.26027247111002605,1999,,,,,474886,
2022-09-13,35,1605.466463078692,1548.3909044265747,,,,,,,0.7782956292185219,1.3100161247056847,0.27158864339192706,2580,,,,,1161371,
2022-09-14,55,1724.144823547394,2330.463909791907,15.0,15,38.853248596191406,-94.68870544433594,38.86029052734375,-94.6820068359375,0.5756663999404197,3.7149912444279507,0.005971033783240123,2871,,,,880958,2174437,170181
2022-09-15,61,1705.3527248876744,2417.917832970619,,,38.9146728515625,-94.76211547851562,38.9146728515625,-94.76211547851562,0.5908025418891311,1.9536006450653076,0.23787464771639757,4096,,,,,3140572,
2022-09-16,40,1614.5183592091503,1548.1323683261871,,,,,,,0.564481896161439,1.5695470676882506,0.26027247111002605,2399,,,,,1340730,
2022-09-17,51,1650.2089675068664,2213.077522754669,,,38.83584213256836,-94.66880798339844,38.835906982421875,-94.6687240600586,0.4218036692428873,5.284431457519531,0.3027424045775623,3359,,,,,2047924,
2022-09-18,57,1621.8554008152423,2848.026059627533,3.0,3,38.83586883544922,-94.66974639892578,38.83597946166992,-94.66946411132812,0.766935046095954,12.294659614562988,0.29422105153401695,4256,,,,,1486110,
2022-09-19,43,1618.4512013939593,1656.520802974701,,,38.86007308959961,-94.68887329101562,38.86028289794922,-94.68868255615234,0.5247994102550314,3.700000047683716,0.259735199792741,2702,,,,,1418659,
2022-09-20,32,1622.7869565991132,1340.2667217254639,,,,,,,2.192712376387499,16.795793533325195,0.27158864339192706,2242,,,,,1504568,
2022-09-21,52,1632.5429390767274,2108.102997621267,1.0,1,38.969635009765625,-94.78427124023438,38.96992492675781,-94.78380584716797,0.6119121152305371,5.682224750518799,0.24545267631219658,3221,,,,,1697877,
2022-09-22,45,1630.9928178001578,1949.187409877777,,,,,,,0.7339164113415658,8.957985877990723,0.26027247111002605,3252,,,,,1667164,
2022-09-23,41,1643.0811280720443,1593.197907924652,,,38.860233306884766,-94.688720703125,38.860260009765625,-94.68863677978516,0.49783757353468516,1.5585925577223876,0.26027247111002605,2637,,,,,1906688,
2022-09-24,26,1618.8718312230258,929.1224217414856,,,38.86021423339844,-94.68878173828125,38.860294342041016,-94.68865203857422,0.9403523202128592,1.6118757724761963,0.25416365953682657,1478,,,,,1426992,
2022-09-25,102,1780.109450690794,4288.997386097908,4.0,4,38.835853576660156,-94.68862915039062,38.860328674316406,-94.6696548461914,0.71203507745351,16.150428771972656,0.26027247111002605,6493,,,,,4621840,
2022-09-26,52,1638.5237405353969,1919.8535305261612,,,,,,,0.6671890885270957,1.4226288370066538,0.26027247111002605,3130,,,,,1816386,
2022-09-27,29,1576.6698515339326,1210.2461473941803,,,,,,,0.5755284969186559,1.3356885971940504,0.2575000864998114,1932,,,,,590779,
2022-09-28,21,1576.8060380171787,971.3825833797455,,,,,,,0.5225099214964091,1.1646341601970058,0.282904847462972,1621,,,,,593479,
2022-09-29,36,1639.5574245688013,1794.0240144729614,,,,,,,1.1333812150669973,17.824010848999023,0.25683528880542816,3163,,,,,1836868,
2022-09-30,41,1577.1894794156244,1685.9034006595612,,,,,,,0.44924055974630156,1.5514365716426854,0.27158864339192706,2732,,,,,366975,100945
2022-10-01,5,1554.0013984262469,382.173171043396,,,,,,,0.33482440183553563,0.7628601619025984,0.25127505045987664,646,,,,,141615,
2022-10-02,15,1569.9078167991377,721.4247405529022,,,,,,,0.5659491479257036,4.100553512573242,0.3281696319580078,1193,,,,,456793,
2022-10-03,44,1597.0783544075186,1734.7484714984894,2.0,2,,,,,0.7129075642301184,5.49914026260376,0.26027247111002605,2828,,,,,995019,
